Name,Question,Institution,gender,Confidence,Medianconf,Vote,Median,Comment,Topic,Qtext
Hans-Joachim Voth,51,University of Zurich,m,8,8,Strongly Agree,Agree,It's clear that bad policy can screw up things; but long-run productivity growth is not under the thumb of central bankers...,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Christian Leuz,51,Chicago Booth,m,3,8,Agree,Agree,"Traditional CB tools don't directly affect productivity. Indirect effects via demand conceivable, but not clear how large&persistent.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Franklin Allen,51,Imperial College London,m,7,8,Agree,Agree,"As far as I know, there's not much evidence that central bank policies are very effective in affecting productivity.",Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Marco Pagano,51,Università di Napoli Federico II,m,8,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Luigi Guiso,51,Einaudi Institute for Economics and Finance,m,8,8,Strongly Agree,Agree,i am one of those who believe that with printing money you cannot by persistent growth,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Agnès Bénassy-Quéré,51,Paris School of Economics,f,3,8,Agree,Agree,Recent studies have suggested a link between monetary conditions and productivity growth. However this is still much discussed.,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Ernst Fehr,51,Universität Zurich,m,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Xavier Freixas,51,Universitat Pompeu Fabra,m,9,8,Strongly Agree,Agree,In the long term the monetary policy is neutral,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Rachel Griffith,51,University of Manchester,f,NA,8,Did Not Answer,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Nicholas Bloom,51,Stanford,m,10,8,Strongly Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
Fabrizio Zilibotti,51,Yale,m,8,8,Agree,Agree,,Central Banks and Productivity,"Britain’s Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement:
Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability."
