Name,Question,Institution,Gender,Confidence,Medianconf,Vote,Median,Comment,Topic,Qtext
Liran Einav,12,Stanford,m,7,5,Disagree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
James Stock,12,Harvard,m,4,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Markus Brunnermeier,12,Princeton,m,NA,5,Did Not Answer,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Christopher Udry,12,Northwestern,m,6,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Abhijit Banerjee,12,MIT,m,4,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Larry Samuelson,12,Yale,m,5,5,Disagree,Uncertain,"A ban would help those exploited by PD loans, but would harm those for whom such loans are a lifeline. ""Most"" is difficult to determine.",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Emmanuel Saez,12,Berkeley,m,5,5,Agree,Uncertain,Most $ spent are heavy users which does not seem like a good arrangement. Occasional users can benefit. More wealth at bottom would be best.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Ray Fair,12,Yale,m,5,5,Agree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Judith Chevalier,12,Yale,f,8,5,Disagree,Uncertain,"This does not mean regulation of the sector's practices is unwarranted, but the research on access to credit is pretty clear.",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Carl Shapiro,12,Berkeley,m,3,5,Disagree,Uncertain,A complete ban seems extreme as a way of protecting borrowers from predatory lending.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Richard Schmalensee,12,MIT,m,2,5,Agree,Uncertain,"On the one hand, some are victimized; on the other, some have no other source of needed credit. Not an easy call without facts.",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Steven Kaplan,12,Chicago,m,9,5,Disagree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Hilary Hoynes,12,Berkeley,f,6,5,Agree,Uncertain,Better would be to provide some regulation of interest rates.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
David Cutler,12,Harvard,m,5,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Austan Goolsbee,12,Chicago,m,6,5,Disagree,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Michael Greenstone,12,Chicago,m,7,5,Strongly Disagree,Uncertain,"The best evidence (see link) finds sharp welfare declines from interest rate caps in a somewhat similar market.
-see background information here",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Alan Auerbach,12,Berkeley,m,5,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Katherine Baicker,12,Chicago,f,3,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Amy Finkelstein,12,MIT,f,8,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
David Autor,12,MIT,m,7,5,Agree,Uncertain,"You've set the bar high: ""very short-term loans at very high annualized interest rates."" So I'll say that these loans benefit few people",Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Caroline Hoxby,12,Stanford,f,10,5,Uncertain,Uncertain,It depends on what would replace payday loans as a source of short-term liquidity. Better information & lending mechanisms need to be tried.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Marianne Bertrand,12,Chicago,f,9,5,Uncertain,Uncertain,,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
Eric Maskin,12,Harvard,m,7,5,Agree,Uncertain,Payday loans at usurious interest rates exploit borrowers' ignorance.,Payday lending,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
