Name,Question,Qtext
Nicholas Bloom,CONF_1,"Question A: Even with the support policies implemented by European governments in response to the crisis, low-income workers will suffer a relatively bigger hit to their incomes than those further up the distribution."
Nicholas Bloom,CONF_2,"Question B: With schools across Europe closed in the lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated."
Nicholas Bloom,CONF_3,Question C: Combating the effects of the pandemic on inequality should be a priority for policy interventions.
Nicholas Bloom,CONF_4,Question A: Severe lockdowns – including closing non-essential businesses and strict limitations on people’s movement – are likely to be better for the economy in the medium term than less aggressive measures.
Nicholas Bloom,CONF_5,"Question B: While national governments have responded to the crisis with substantial economic policy measures, a joint euro area fiscal response is still highly desirable."
Nicholas Bloom,CONF_6,"Question C: Given the willingness of the European Central Bank to buy sovereign bonds, including Italian bonds, without limits, there is no need for ‘coronabonds’."
Nicholas Bloom,CONF_7,"Question A: Even if the mortality of COVID-19 proves to be limited (similar to the number of flu deaths in a regular season), it is likely to cause a major recession."
Nicholas Bloom,CONF_8,Question B: The economic effects of COVID-19 coming from reduced spending will be larger than those coming from disruptions to supply chains and illness-related workforce reductions.
Nicholas Bloom,CONF_9,Question C: The economic policy institutions of the Eurozone are well equipped to ameliorate the potential economic damage from COVID-19.
Nicholas Bloom,CONF_10,"Question A: Germany's current account surplus is undesirable even from a purely German viewpoint: the country would be better off if, for example, it ran a smaller primary surplus, in turn leading to a smaller current account surplus."
Nicholas Bloom,CONF_11,"Question B: The Eurozone would be in better shape if fiscal policy were more expansionary, which would allow monetary policy to be slightly less so."
Nicholas Bloom,CONF_12,"Question C: If there is a recession in the Eurozone, it will be essential to have a coordinated fiscal expansion."
Nicholas Bloom,CONF_13,Question A: The European Union goal of reaching net zero emissions of greenhouse gases by 2050 will be a major drag on economic growth.
Nicholas Bloom,CONF_14,Question B: Carbon taxes are a better way to implement climate policy than cap-and-trade.
Nicholas Bloom,CONF_15,Question C: A carbon border tax targeting imports from non-EU countries with less strict climate policies is likely to harm developing economies.
Nicholas Bloom,CONF_16,"Question A: Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy."
Nicholas Bloom,CONF_17,"Question B: Given that the transition period currently expires at the end of 2020, there is still a considerable risk that the UK will leave the European Union without a trade agreement."
Nicholas Bloom,CONF_18,Question C: Leaving the European Union without a trade agreement would have a large negative impact on the UK economy.
Nicholas Bloom,CONF_19,"Question A: Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade."
Nicholas Bloom,CONF_20,Question B: The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.
Nicholas Bloom,CONF_21,"Question A: Europeans would benefit more from an extra €1 billion of public R&D spent through existing (public) channels than from an extra €1 billion of private R&D spent through existing (private) channels, all else equal."
Nicholas Bloom,CONF_22,"Question B: Europeans would benefit more from an extra €1 billion of public medical research spent through existing (public) channels than from an extra €1 billion of private medical research spent through existing (private) channels, all else equal."
Nicholas Bloom,CONF_23,Question A: Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.
Nicholas Bloom,CONF_24,Question B: Randomized control trials are a valuable tool for making significant progress in poverty reduction.
Nicholas Bloom,CONF_25,Question A: Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.
Nicholas Bloom,CONF_26,"Question B: Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with small impacts on shareholder value."
Nicholas Bloom,CONF_27,"Question C:
Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce."
Nicholas Bloom,CONF_28,Question A: Rising inequality is straining the health of liberal democracy.
Nicholas Bloom,CONF_29,Question B: Enacting more redistributive expenditures and policies would be likely to limit the rise of populism in Europe.
Nicholas Bloom,CONF_30,"Question C: European governments should allocate more resources to policies that would be likely to limit the rise of populism in Europe, even if it means higher public debt or lower public spending in other areas."
Nicholas Bloom,CONF_31,"Question A: At this point, there is little that the European Central Bank can do to increase or maintain output in the Eurozone."
Nicholas Bloom,CONF_32,"Question B: When the economy is operating below its potential, larger fiscal deficits are likely to increase demand and output."
Nicholas Bloom,CONF_33,"Question C: When the economy is operating below its potential and monetary policy is at the effective lower bound, fiscal policy should prioritize increasing output over decreasing public debt."
Nicholas Bloom,CONF_34,Question A: Selecting candidates for membership of the ECB Executive Board based primarily on nationality ahead of competence is likely to have a negative effect on the quality of monetary policy in the Eurozone.
