Name,Question,Qtext
Daron Acemoglu,CONF_1,"Question A: With the economy in lockdown, low-income workers who are above the poverty line will suffer a relatively bigger hit to their incomes than those further up the distribution (even accounting for all government support schemes)."
Daron Acemoglu,CONF_2,"Question B: With the economy in lockdown, existing gaps in access to quality education between high- and low-income households will be exacerbated."
Daron Acemoglu,CONF_3,Question C: The mortality impact of Covid-19 is likely to fall disproportionately on disadvantaged socio-economic groups.
Daron Acemoglu,CONF_4,"Question A: Even if tests for Covid-19 are being rationed, there is an urgent need for some random testing to establish baseline levels of the virus to inform any decisions about ending lockdowns."
Daron Acemoglu,CONF_5,Question B: Required elements for an economic ‘restart’ after lockdowns include a massive increase in testing capacity (for infections and antibodies) along with a coherent strategy for preventing new outbreaks and reintroducing low-risk/no-risk individuals into public activities.
Daron Acemoglu,CONF_6,Question A: A comprehensive policy response to the coronavirus will involve tolerating a very large contraction in economic activity until the spread of infections has dropped significantly.
Daron Acemoglu,CONF_7,Question B: Abandoning severe lockdowns at a time when the likelihood of a resurgence in infections remains high will lead to greater total economic damage than sustaining the lockdowns to eliminate the resurgence risk.
Daron Acemoglu,CONF_8,"Question C: Optimally, the government would invest more than it is currently doing in expanding treatment capacity through steps such as building temporary hospitals, accelerating testing, making more masks and ventilators, and providing financial incentives for the production of a successful vaccine."
Daron Acemoglu,CONF_9,"Question A: Even if the mortality of COVID-19 proves to be limited (similar to the number of flu deaths in a regular season), it is likely to cause a major recession."
Daron Acemoglu,CONF_10,Question B: The economic effects of COVID-19 coming from reduced spending will be larger than those coming from disruptions to supply chains and illness-related workforce reductions.
Daron Acemoglu,CONF_11,"Question A: Given the current state of the economy, the Federal Reserve should focus on keeping inflation low rather than trying to reduce unemployment."
Daron Acemoglu,CONF_12,"Question B: Right now, if the Federal Reserve were to try to reduce unemployment, then inflation would rise noticeably."
Daron Acemoglu,CONF_13,Question C: Presidents should make public statements about Federal Reserve interest rate decisions.
Daron Acemoglu,CONF_14,Question D: The Federal Reserve should always be able to make emergency loans to banks.
Daron Acemoglu,CONF_15,"Question A: Replacing the current US health insurance system (including employer-based health insurance, ACA exchange policies, and Medicaid) with universal ‘Medicare for All’ (mandatory enrollment in a modified version of the existing traditional Medicare program with drug coverage and no cost-sharing of any form, and current Medicare reimbursement rates) funded by federal taxes would lead to lower aggregate medical debt among patients."
Daron Acemoglu,CONF_16,Question B: Replacing the current US health insurance system as outlined in a) would lead to lower aggregate innovation in the pharmaceutical industry.
Daron Acemoglu,CONF_17,Question C: Replacing the current US health insurance system as outlined in a) would improve health outcomes for the majority of the population.
Daron Acemoglu,CONF_18,"Question A: Replacing the current US health insurance system (including employer-based health insurance, ACA exchange policies, and Medicaid) with universal ‘Medicare for All’ (mandatory enrollment in a modified version of the existing traditional Medicare program with drug coverage and no cost-sharing of any form, and current Medicare reimbursement rates) funded by federal taxes would lead to improved access to healthcare for a meaningful subset of the population."
Daron Acemoglu,CONF_19,Question B: Replacing the current US health insurance system as outlined in a) would lead to longer waiting times for healthcare for a meaningful subset of the population.
Daron Acemoglu,CONF_20,"Question A: Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy."
Daron Acemoglu,CONF_21,Question B: The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.
Daron Acemoglu,CONF_22,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.
