Name,Institution,Gender
Daron Acemoglu,MIT,m
Alberto Alesina,Harvard,m
Joseph Altonji,Yale,m
Alan Auerbach,Berkeley,m
David Autor,MIT,m
Katherine Baicker,Chicago,f
Abhijit Banerjee,MIT,m
Marianne Bertrand,Chicago,f
Markus Brunnermeier,Princeton,m
Raj Chetty,Stanford,m
Judith Chevalier,Yale,f
Janet Currie,Princeton,f
David Cutler,Harvard,m
Angus Deaton,Princeton,m
Darrell Duffie,Stanford,m
Aaron Edlin,Berkeley,m
Barry Eichengreen,Berkeley,m
Liran Einav,Stanford,m
Ray Fair,Yale,m
Amy Finkelstein,MIT,f
Pinelopi Goldberg,Yale,f
Claudia Goldin,Harvard,f
Austan Goolsbee,Chicago,m
Michael Greenstone,Chicago,m
Robert Hall,Stanford,m
Oliver Hart,Harvard,m
Bengt Holmström,MIT,m
Caroline Hoxby,Stanford,f
Hilary Hoynes,Berkeley,f
Kenneth Judd,Stanford,m
Steven Kaplan,Chicago,m
Anil Kashyap,Chicago,m
Pete Klenow,Stanford,m
Edward Lazear,Stanford,m
Jonathan Levin,Stanford,m
Eric Maskin,Harvard,m
William Nordhaus,Yale,m
Maurice Obstfeld,Berkeley,m
Cecilia Rouse,Princeton,f
Emmanuel Saez,Berkeley,m
Larry Samuelson,Yale,m
José Scheinkman,Columbia University,m
Richard Schmalensee,MIT,m
Carl Shapiro,Berkeley,m
Robert Shimer,Chicago,m
Hyun Song Shin,Princeton,m
James Stock,Harvard,m
Nancy Stokey,Chicago,f
Richard Thaler,Chicago,m
Christopher Udry,Northwestern,m
Luigi Zingales,Chicago,m
