Name,Question,Institution,gender,Confidence,Medianconf,Vote,Median,Qtext,Comment
Agnès Bénassy-Quéré,1,Paris School of Economics,f,10,7,Strongly Agree,Agree,"Question A: Germany's current account surplus is undesirable even from a purely German viewpoint: the country would be better off if, for example, it ran a smaller primary surplus, in turn leading to a smaller current account surplus.",The demography justifies a smaller surplus. Returns from foreign investments are not great.
Agnès Bénassy-Quéré,2,Paris School of Economics,f,8,7,Uncertain,Agree,"Question B: The Eurozone would be in better shape if fiscal policy were more expansionary, which would allow monetary policy to be slightly less so.",Depends on which country expands.
Agnès Bénassy-Quéré,3,Paris School of Economics,f,10,8,Strongly Agree,Agree,"Question C: If there is a recession in the Eurozone, it will be essential to have a coordinated fiscal expansion.",
Agnès Bénassy-Quéré,4,Paris School of Economics,f,5,5,Uncertain,Disagree,Question A: The European Union goal of reaching net zero emissions of greenhouse gases by 2050 will be a major drag on economic growth.,Depends on how the policy is carried out. The overall drag on growth may be limited but large uncertainty. Counterfactual is also unclear.
Agnès Bénassy-Quéré,5,Paris School of Economics,f,5,6,Agree,Agree,Question B: Carbon taxes are a better way to implement climate policy than cap-and-trade.,In theory cap-and-trade is attractive but in practice it fails to give a long-term perspective on carbon prices.
Agnès Bénassy-Quéré,6,Paris School of Economics,f,5,5,Uncertain,Uncertain,Question C: A carbon border tax targeting imports from non-EU countries with less strict climate policies is likely to harm developing economies.,Developing countries will be major losers of climate change. They may in fact negotiate lump-sum transfers.
Agnès Bénassy-Quéré,7,Paris School of Economics,f,1,7,Uncertain,Disagree,"Question A: Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.",More certainty on higher transaction costs: net effect is unclear.
Agnès Bénassy-Quéré,8,Paris School of Economics,f,4,7,Disagree,Agree,"Question B: Given that the transition period currently expires at the end of 2020, there is still a considerable risk that the UK will leave the European Union without a trade agreement.",There will likely be an agreement; the problem is its content.
Agnès Bénassy-Quéré,9,Paris School of Economics,f,10,7,Agree,Agree,Question C: Leaving the European Union without a trade agreement would have a large negative impact on the UK economy.,
Agnès Bénassy-Quéré,10,Paris School of Economics,f,5,6,Uncertain,Uncertain,"Question A: Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.",It is not clear whether these events will have a sizeable impact on inflation.
Agnès Bénassy-Quéré,11,Paris School of Economics,f,6,6,Agree,Uncertain,Question B: The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.,Some asset classes may abruptly lose value.
Agnès Bénassy-Quéré,12,Paris School of Economics,f,7,5,Agree,Uncertain,"Question A: Europeans would benefit more from an extra €1 billion of public R&D spent through existing (public) channels than from an extra €1 billion of private R&D spent through existing (private) channels, all else equal.",
Agnès Bénassy-Quéré,13,Paris School of Economics,f,7,5,Agree,Uncertain,"Question B: Europeans would benefit more from an extra €1 billion of public medical research spent through existing (public) channels than from an extra €1 billion of private medical research spent through existing (private) channels, all else equal.",
Agnès Bénassy-Quéré,14,Paris School of Economics,f,1,7,Agree,Agree,Question A: Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,
Agnès Bénassy-Quéré,15,Paris School of Economics,f,10,7,Strongly Agree,Agree,Question B: Randomized control trials are a valuable tool for making significant progress in poverty reduction.,
Agnès Bénassy-Quéré,16,Paris School of Economics,f,4,7,Uncertain,Uncertain,Question A: Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Depends on the horizon of the shareholders and on the regulation.
