Name,Question,Institution,Gender,Confidence,Medianconf,Vote,Median,Qtext,Comment
Aaron Edlin,1,Berkeley,m,7,5,Agree,Uncertain,"Question A: Given the current state of the economy, the Federal Reserve should focus on keeping inflation low rather than trying to reduce unemployment.",
Aaron Edlin,2,Berkeley,m,7,5,Uncertain,Uncertain,"Question B: Right now, if the Federal Reserve were to try to reduce unemployment, then inflation would rise noticeably.",
Aaron Edlin,3,Berkeley,m,8,7,Strongly Disagree,Disagree,Question C: Presidents should make public statements about Federal Reserve interest rate decisions.,
Aaron Edlin,4,Berkeley,m,8,6,Agree,Agree,Question D: The Federal Reserve should always be able to make emergency loans to banks.,"Hillel asked: if not them, who?"
Aaron Edlin,5,Berkeley,m,8,5,Strongly Agree,Agree,"Question A: Replacing the current US health insurance system (including employer-based health insurance, ACA exchange policies, and Medicaid) with universal ‘Medicare for All’ (mandatory enrollment in a modified version of the existing traditional Medicare program with drug coverage and no cost-sharing of any form, and current Medicare reimbursement rates) funded by federal taxes would lead to lower aggregate medical debt among patients.",
Aaron Edlin,6,Berkeley,m,8,5,Agree,Uncertain,Question B: Replacing the current US health insurance system as outlined in a) would lead to lower aggregate innovation in the pharmaceutical industry.,Medicare is likely to pay less for drugs leading to less innovation.
Aaron Edlin,7,Berkeley,m,7,5,Uncertain,Uncertain,Question C: Replacing the current US health insurance system as outlined in a) would improve health outcomes for the majority of the population.,Probably better for some and worse for others. On balance hard to know.
Aaron Edlin,8,Berkeley,m,7,6,Agree,Agree,"Question A: Replacing the current US health insurance system (including employer-based health insurance, ACA exchange policies, and Medicaid) with universal ‘Medicare for All’ (mandatory enrollment in a modified version of the existing traditional Medicare program with drug coverage and no cost-sharing of any form, and current Medicare reimbursement rates) funded by federal taxes would lead to improved access to healthcare for a meaningful subset of the population.",
Aaron Edlin,9,Berkeley,m,6,5,Agree,Agree,Question B: Replacing the current US health insurance system as outlined in a) would lead to longer waiting times for healthcare for a meaningful subset of the population.,More access implies longer waits unless there is a way to get more providers.
Aaron Edlin,10,Berkeley,m,6,4,Uncertain,Uncertain,"Question A: Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.",There remains much uncertainty including how economy will respond.
Aaron Edlin,11,Berkeley,m,3,5,Agree,Uncertain,Question B: The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,
Aaron Edlin,12,Berkeley,m,7,5,Disagree,Uncertain,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.,Disclosure rules and banning rollover makes more sense. Sometimes people need credit.
Aaron Edlin,13,Berkeley,m,2,5,Uncertain,Uncertain,"Question A: Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.","Almost any claim saying ""at most"" is literally wrong. A lot can happen in a decade and has in the last decade. Time will tell, sadly."
Aaron Edlin,14,Berkeley,m,5,5,Disagree,Uncertain,Question B: The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.,Immediate threats include big fires and extreme weather events. Threats to global financial stability are probably farther in the future.
Aaron Edlin,15,Berkeley,m,1,4,Uncertain,Uncertain,"Taking into account the revenues, consumer surplus, purchasing patterns by income, and possible consumer biases, state-run lotteries (such as Powerball and scratch-off games) increase social welfare.",Addiction and consumer bias could mean that the product decreases welfare. But does it crowd out even worse gambling and associated crime?
Aaron Edlin,16,Berkeley,m,6,7,Agree,Strongly Agree,Question A: Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,
Aaron Edlin,17,Berkeley,m,8,7,Agree,Agree,Question B: Randomized control trials are a valuable tool for making significant progress in poverty reduction.,
Aaron Edlin,18,Berkeley,m,7,6,Uncertain,Agree,Question A: Rising inequality is straining the health of liberal democracy.,A bigger problem might be that incomes haven’t increased meaningfully for the poor nor the middle class
Aaron Edlin,19,Berkeley,m,5,5,Uncertain,Uncertain,Question B: Enacting more redistributive expenditures and policies would be likely to limit the rise of populism.,
Aaron Edlin,20,Berkeley,m,6,5,Uncertain,Uncertain,"Question C:
Governments should allocate more resources to policies that would be likely to limit the rise of populism, even if it means higher public debt or lower public spending in other areas.",
Aaron Edlin,21,Berkeley,m,10,6,Strongly Agree,Uncertain,Question A: Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,Greenhouse gases are but one example.
