Name,Institution
Philippe Aghion,Harvard
Franklin Allen,Imperial College London
Pol Antras,Harvard
Richard Baldwin,The Graduate Institute Geneva
Agnès Bénassy-Quéré,Paris School of Economics
Timothy J. Besley,LSE
Olivier Blanchard,Peterson Institute
Nicholas Bloom,Stanford
Richard William Blundell,University College London
Elena Carletti,Bocconi
Jean-Pierre Danthine,Paris School of Economics
Paul De Grauwe,LSE
Jan Eeckhout,University College London
Ernst Fehr,Universität Zurich
Xavier Freixas,Universitat Pompeu Fabra
Nicola Fuchs-Schündeln,Goethe-Universität Frankfurt
Jordi Galí,Universitat Pompeu Fabra
Luis Garicano,LSE
Francesco Giavazzi,Bocconi
Rachel Griffith,University of Manchester
Veronica Guerrieri,Chicago Booth
Luigi Guiso,Einaudi Institute for Economics and Finance
Martin Hellwig,Max Planck Institute for Research on Collective Goods
Patrick Honohan,Trinity College Dublin
Beata Javorcik,University of Oxford
Henrik Kleven,Princeton
Botond Kőszegi,Central European University
Jan Pieter Krahnen,Goethe University Frankfurt
Per Krusell,Stockholm University
Eliana La Ferrara,Bocconi
Christian Leuz,Chicago Booth
Thierry Mayer,Sciences-Po
Costas Meghir,Yale
Peter Neary,Oxford
Kevin O'Rourke,Oxford
Marco Pagano,Università di Napoli Federico II
Lubos Pastor,Chicago Booth
Torsten Persson,Stockholm University
Christopher Pissarides,LSE
Richard Portes,London Business School
Canice Prendergast,Chicago Booth
Lucrezia Reichlin,London Business School
Rafael Repullo,CEMFI
Hélène Rey,London Business School
Antoinette Schoar,MIT
Daniel Sturm,London School of Economics
John Van Reenen,MIT
John Vickers,Oxford
Hans-Joachim Voth,University of Zurich
Beatrice Weder di Mauro,Gutenberg University Mainz and INSEAD
Karl Whelan,University College Dublin
Charles Wyplosz,The Graduate Institute Geneva
Fabrizio Zilibotti,Yale
