Name,Question,Confidence,Medianconf,Questiontext,Deviation_from_median_confidence
Aaron Edlin,1,7,5,"Given the current state of the economy, the Federal Reserve should focus on keeping inflation low rather than trying to reduce unemployment.",2
Aaron Edlin,1,6,4,"Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.",2
Aaron Edlin,1,4,5,border adjustment,-1
Aaron Edlin,1,10,7,Implementing a “destination based cash flow tax (including,3
Aaron Edlin,1,7,6,border adjustment,1
Aaron Edlin,1,7,6,"Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.",1
Aaron Edlin,1,7,4,"Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.",3
Aaron Edlin,1,5,6,"If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.",-1
Aaron Edlin,1,7,7,"If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.",0
Aaron Edlin,1,7,6,Providing state and local subsidies to build stadiums for professional sports teams is likely to cost the relevant taxpayers more than any local economic benefits that are generated.,1
Aaron Edlin,1,7,7,US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.,0
Aaron Edlin,1,2,5,US share prices have risen since Donald Trump’s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.,-3
Aaron Edlin,1,3,5,The near certainty that the UK will leave the European Union’s customs union and single market in 2020 offers a sizeable export market opportunity for American business.,-2
Aaron Edlin,1,2,5,The Council of Economic Advisors is likely to give the US president better policy advice if the Chair and Members of the CEA have published peer-reviewed economics research.,-3
Aaron Edlin,1,6,6,If all of the “Seven actions to protect American workers” in President-elect Trump’s 100-day plan,0
Aaron Edlin,1,NA,4,(see link),NA
Aaron Edlin,1,7,7,If all of the “Seven actions to protect American workers” in President-elect Trump’s,0
Aaron Edlin,1,3,5,100-day plan,-2
Aaron Edlin,1,NA,4,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.,NA
Aaron Edlin,1,9,8,"Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000.",1
Aaron Edlin,1,7,7,"Adding new or higher import duties on products such as air conditioners, cars, and cookies — to encourage producers to make them in the US — would be a good idea.",0
Aaron Edlin,1,7,6,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.,1
Aaron Edlin,1,10,8,Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.,2
Aaron Edlin,1,7,5,A ban on very short-term loans at very high annualized interest rates (aka payday lending) would make most people who use or might use them better off.,2
Aaron Edlin,1,2,5,"Under current policies on climate change, the associated physical risks (such as those arising from total seasonal rainfall and sea level changes, and increased frequency, severity, and correlation of extreme weather events) will be at most a very small factor in monetary policy decisions over the next decade.",-3
Aaron Edlin,1,5,5,The physical risks associated with climate change under current policies are likely to threaten financial stability over the next decade.,0
Aaron Edlin,1,1,4,"Taking into account the revenues, consumer surplus, purchasing patterns by income, and possible consumer biases, state-run lotteries (such as Powerball and scratch-off games) increase social welfare.",-3
Aaron Edlin,1,6,7,Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,-1
Aaron Edlin,1,8,7,Randomized control trials are a valuable tool for making significant progress in poverty reduction.,1
Aaron Edlin,1,7,6,Rising inequality is straining the health of liberal democracy.,1
Aaron Edlin,1,5,5,Enacting more redistributive expenditures and policies would be likely to limit the rise of populism.,0
Aaron Edlin,2,7,5,"Right now, if the Federal Reserve were to try to reduce unemployment, then inflation would rise noticeably.",2
Aaron Edlin,2,6,5,"Governments should allocate more resources to policies that would be likely to limit the rise of populism, even if it means higher public debt or lower public spending in other areas.",1
Aaron Edlin,2,10,6,Having companies run to maximize shareholder value creates significant negative externalities for workers and communities.,4
Aaron Edlin,2,6,5,"Appropriately managed corporations could create significantly greater value than they currently do for a range of stakeholders – including workers, suppliers, customers and community members – with negligible impacts on shareholder value.",1
Aaron Edlin,2,7,6,Effective mechanisms for boards of directors to ensure that CEOs act in ways that balance the interests of all stakeholders would be straightforward to introduce.,1
Aaron Edlin,2,7,5,"A substantial source of the value of decentralized private cryptocurrencies, such as Bitcoin, arises from their convenience for use in illegal activities.",2
Aaron Edlin,2,NA,7,"In a case like the US women’s national soccer team where the revenues that they generate and their on-field performance both exceed those of the men’s team, there is no justification for lower pay.",NA
Aaron Edlin,2,NA,5,Fining companies above a certain size that fail to provide the same remuneration to men and women employees performing comparable roles would be an effective way of closing the gender pay gap.,NA
Aaron Edlin,2,8,8,Mexico's persistent bilateral trade surplus with the United States implies that Mexico is following policies that keep the peso artificially weak against the US dollar.,0
Aaron Edlin,2,8,7,"The existence of a multi-year trade deficit of Country A with Country B implies that B has successfully tilted the playing field in its favor in terms of such policies as tariffs, non-tariff barriers, and the exchange rate between them.",1
Aaron Edlin,2,8,7,The first required class for undergraduate economics majors at my university accurately reflects the way that economists think about a range of economics problems.,1
Aaron Edlin,3,8,7,Presidents should make public statements about Federal Reserve interest rate decisions.,1
Aaron Edlin,3,8,5,The first required class for undergraduate economics majors at my university addresses the most pressing economic issues in the US.,3
Aaron Edlin,3,6,6,The incidence of the latest round of US import tariffs is likely to fall primarily on American households.,0
Aaron Edlin,3,7,5,The impact of the tariffs – and any Chinese countermeasures – on US prices and employment is likely to be felt most heavily by lower income groups and regions.,2
Aaron Edlin,3,7,8,Selecting candidates for membership of the Federal Open Market Committee (FOMC) based primarily on their political views would lead to worse monetary policy outcomes than has been the case over the last 15 years.,-1
Aaron Edlin,3,6,6,The admission of children of alumni and donors at elite private colleges and universities crowds out applicants with greater academic potential.,0
Aaron Edlin,3,6,5,The net effect of admitting children of alumni and donors (including any impact on donations and any losses of other high potential applicants) is likely to be a reduction in the contribution of colleges and universities to society.,1
Aaron Edlin,3,5,5,Senator Warren’s,0
Aaron Edlin,3,3,5,proposed,-2
Aaron Edlin,3,6,5,"If successfully enforced, Senator Warren’s proposed wealth tax would substantially decrease the share of wealth going to the top 0.1% of wealth-holders after 20 years.",1
Aaron Edlin,3,NA,5,"A public policy goal that could be accomplished with a well-enforced wealth tax could be equally accomplished with modifications to existing federal taxes – for example, revising the estate tax and/or capital gains tax.",NA
Aaron Edlin,4,8,6,The Federal Reserve should always be able to make emergency loans to banks.,2
Aaron Edlin,4,NA,5,Forcing Amazon to divest Whole Foods now would be in the public interest.,NA
Aaron Edlin,4,NA,5,Acquisitions by large tech platforms where there are risks of anti-competitive effects like those posed by Amazon’s acquisition of Whole Foods should not be permitted.,NA
Aaron Edlin,4,7,8,"Large tech platforms, such as Amazon Marketplace and Google Search, should be designated as ‘platform utilities' and broken apart from any participant on that platform.",-1
Aaron Edlin,4,9,8,Countries that borrow in their own currency should not worry about government deficits because they can always create money to finance their debt.,1
Aaron Edlin,4,NA,5,Countries that borrow in their own currency can finance as much real government spending as they want by creating money.,NA
Aaron Edlin,4,NA,4,"When local governments compete by offering subsidies to a firm that is willing to relocate, and shopping across multiple alternative areas, the firm typically captures most of value that is created via the relocation.",NA
Aaron Edlin,4,10,7,A federal prohibition against states and municipalities offering tax subsidies to attract specific businesses that are shopping across multiple areas to relocate would be welfare improving for the average taxpayer.,3
Aaron Edlin,4,8,8,"It is best for society if the management of U.S. publicly traded corporations only considers the impact of their decisions on customers, employees, and community members to the extent that these impacts feedback to impact shareholder wealth.",0
Aaron Edlin,4,7,6,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",1
Aaron Edlin,4,7,7,"Raising the top federal marginal tax on earned personal income to 70% (and holding the rest of the current tax code, including the top bracket definition, fixed) would raise substantially more revenue (federal and state, combined) without lowering economic activity.",0
Aaron Edlin,5,8,5,"Replacing the current US health insurance system (including employer-based health insurance, ACA exchange policies, and Medicaid) with universal ‘Medicare for All’ (mandatory enrollment in a modified version of the existing traditional Medicare program with drug coverage and no cost-sharing of any form, and current Medicare reimbursement rates) funded by federal taxes would lead to lower aggregate medical debt among patients.",3
